country,country_name,type,level,2016,2017,2018
BE,Belgium,Total net production,Total,82520,82948.5,69212.347
BE,Belgium,Energy supplied,Total,87228,87484.7,85192.007
BG,Bulgaria,Total net production,Total,41221,41351.303,41705
BG,Bulgaria,Energy supplied,Total,33931,34921.405,33473
CZ,Czechia,Total net production,Total,76398,79885.766,81967.627
CZ,Czechia,Energy supplied,Total,63854,65318.366,66687.651
DK,Denmark,Total net production,Total,29077.932,29653.682,28939.089
DK,Denmark,Energy supplied,Total,34135.025,34216.397,34163.432
DE,Germany,Total net production,Total,614155,619059,571799.713
DE,Germany,Energy supplied,Total,556133,558348,514966.039
EE,Estonia,Total net production,Total,10424,11234,10834.143
EE,Estonia,Energy supplied,Total,8387,8500,8937.443
IE,Ireland,Total net production,Total,29689.24,30086.974,29234.886
IE,Ireland,Energy supplied,Total,28445.088,29009.829,28707.828
EL,Greece,Total net production,Total,50227,50589.215,50708.949
EL,Greece,Energy supplied,Total,58991,56716.215,57199.339
ES,Spain,Total net production,Total,264344,264918,261071.191
ES,Spain,Energy supplied,Total,267192,270412,268975.67
FR,France,Total net production,Total,540767.954,538042.323,551685.823
FR,France,Energy supplied,Total,492543.369,490823.998,481085.616
HR,Croatia,Total net production,Total,12284,11522.9,13256.54
HR,Croatia,Energy supplied,Total,17521,18190.4,18537.364
IT,Italy,Total net production,Total,279702.622,285265.649,280234
IT,Italy,Energy supplied,Total,314261.622,320548.137,321910
CY,Cyprus,Total net production,Total,4667.638,4778.28,4791.085
CY,Cyprus,Energy supplied,Total,4667.638,4778.28,4791.085
LV,Latvia,Total net production,Total,5927,7024.859,6500
LV,Latvia,Energy supplied,Total,6960,6960.694,7408
LT,Lithuania,Total net production,Total,4051,3996.1,3183.095
LT,Lithuania,Energy supplied,Total,11536,11874.2,12089.188
LU,Luxembourg,Total net production,Total,2167.69,2204.738,2164.862
LU,Luxembourg,Energy supplied,Total,6523.878,6549.101,6608.7
HU,Hungary,Total net production,Total,29548,30676,29749.879
HU,Hungary,Energy supplied,Total,42259,43554,44098.104
MT,Malta,Total net production,Total,807.16,1594.459,1888.398
MT,Malta,Energy supplied,Total,2332.16,2455.826,2509.14
NL,Netherlands,Total net production,Total,111032.253,113465.034,112551.371
NL,Netherlands,Energy supplied,Total,115946.625,116971.246,118412.371
AT,Austria,Total net production,Total,64860.87,67690.162,65587.792
AT,Austria,Energy supplied,Total,67766.643,68625.47,69418.546
PL,Poland,Total net production,Total,152003,154869.344,154096.5
PL,Poland,Energy supplied,Total,153258,156421.464,159130.403
PT,Portugal,Total net production,Total,58862.052,57668.978,58085
PT,Portugal,Energy supplied,Total,52257.052,52761.107,53862
RO,Romania,Total net production,Total,60256,59355.43,58722
RO,Romania,Energy supplied,Total,54579,55995.38,56178
SI,Slovenia,Total net production,Total,15546,15396.876,15284.254
SI,Slovenia,Energy supplied,Total,13997,14515.916,14529.653
SK,Slovakia,Total net production,Total,24997,25692,23717
SK,Slovakia,Energy supplied,Total,27314,28302,26997
FI,Finland,Total net production,Total,66200,65038,67423.674
FI,Finland,Energy supplied,Total,85151,85463,87360.674
SE,Sweden,Total net production,Total,152531,160526,158287.088
SE,Sweden,Energy supplied,Total,140626,141498,141001.499
NO,Norway,Total net production,Total,149067,148642,146845.187
NO,Norway,Energy supplied,Total,131229,131824,135674.508
ME,Montenegro,Total net production,Total,3023,2363.8,3743
ME,Montenegro,Energy supplied,Total,3327,3484,9981
MK,North Macedonia,Total net production,Total,5284.253,5226.865,5203.736
MK,North Macedonia,Energy supplied,Total,7315.006,7209.41,7123.5
AL,Albania,Total net production,Total,7136,4497.807,8596.537
AL,Albania,Energy supplied,Total,7094,7412.435,7683.232
RS,Serbia,Total net production,Total,36628,34298.552,35241.186
RS,Serbia,Energy supplied,Total,33677,34185.552,34279.742
TR,Turkey,Total net production,Total,261937,284257.519,289282.578
TR,Turkey,Energy supplied,Total,266815,283682.114,288675.006
BA,Bosnia & Herzegovina,Total net production,Total,16609,15239,7502.427
BA,Bosnia & Herzegovina,Energy supplied,Total,12852,13132,5118.6
UA,Ukraine,Total net production,Total,151889,144905.8,159072.5
UA,Ukraine,Energy supplied,Total,146503,138155.6,156020.2
GE,Georgia,Total net production,Total,11365,11315.8,12148.514
GE,Georgia,Energy supplied,Total,11285,12127.3,12853.73
