,country,country_name,type,level,year,amount,difference
1,AL,Albania,Energy supplied,Total,2016,7094,42
4,AL,Albania,Total net production,Total,2016,7136,42
2,AL,Albania,Energy supplied,Total,2017,7412.435,-2914.628
5,AL,Albania,Total net production,Total,2017,4497.807,-2914.628
3,AL,Albania,Energy supplied,Total,2018,7683.232,913.305
6,AL,Albania,Total net production,Total,2018,8596.537,913.305
7,AT,Austria,Energy supplied,Total,2016,67766.643,-2905.773
10,AT,Austria,Total net production,Total,2016,64860.87,-2905.773
8,AT,Austria,Energy supplied,Total,2017,68625.47,-935.308
11,AT,Austria,Total net production,Total,2017,67690.162,-935.308
9,AT,Austria,Energy supplied,Total,2018,69418.546,-3830.754
12,AT,Austria,Total net production,Total,2018,65587.792,-3830.754
13,BA,Bosnia & Herzegovina,Energy supplied,Total,2016,12852,3757
16,BA,Bosnia & Herzegovina,Total net production,Total,2016,16609,3757
14,BA,Bosnia & Herzegovina,Energy supplied,Total,2017,13132,2107
17,BA,Bosnia & Herzegovina,Total net production,Total,2017,15239,2107
15,BA,Bosnia & Herzegovina,Energy supplied,Total,2018,5118.6,2383.827
18,BA,Bosnia & Herzegovina,Total net production,Total,2018,7502.427,2383.827
19,BE,Belgium,Energy supplied,Total,2016,87228,-4708
22,BE,Belgium,Total net production,Total,2016,82520,-4708
20,BE,Belgium,Energy supplied,Total,2017,87484.7,-4536.2
23,BE,Belgium,Total net production,Total,2017,82948.5,-4536.2
21,BE,Belgium,Energy supplied,Total,2018,85192.007,-15979.66
24,BE,Belgium,Total net production,Total,2018,69212.347,-15979.66
25,BG,Bulgaria,Energy supplied,Total,2016,33931,7290
28,BG,Bulgaria,Total net production,Total,2016,41221,7290
26,BG,Bulgaria,Energy supplied,Total,2017,34921.405,6429.898
29,BG,Bulgaria,Total net production,Total,2017,41351.303,6429.898
27,BG,Bulgaria,Energy supplied,Total,2018,33473,8232
30,BG,Bulgaria,Total net production,Total,2018,41705,8232
31,CY,Cyprus,Energy supplied,Total,2016,4667.638,0
34,CY,Cyprus,Total net production,Total,2016,4667.638,0
32,CY,Cyprus,Energy supplied,Total,2017,4778.28,0
35,CY,Cyprus,Total net production,Total,2017,4778.28,0
33,CY,Cyprus,Energy supplied,Total,2018,4791.085,0
36,CY,Cyprus,Total net production,Total,2018,4791.085,0
37,CZ,Czechia,Energy supplied,Total,2016,63854,12544
40,CZ,Czechia,Total net production,Total,2016,76398,12544
38,CZ,Czechia,Energy supplied,Total,2017,65318.366,14567.4
41,CZ,Czechia,Total net production,Total,2017,79885.766,14567.4
39,CZ,Czechia,Energy supplied,Total,2018,66687.651,15279.976
42,CZ,Czechia,Total net production,Total,2018,81967.627,15279.976
43,DE,Germany,Energy supplied,Total,2016,556133,58022
46,DE,Germany,Total net production,Total,2016,614155,58022
44,DE,Germany,Energy supplied,Total,2017,558348,60711
47,DE,Germany,Total net production,Total,2017,619059,60711
