country,country_name,year,Conventional thermal,Nuclear,Hydro,Pumped hydro power,Wind,Solar,Geothermal,Other,total,renewable,renewable_rate
BE,Belgium,2016,30728,41430,1476,1110,5340,3070,0,476,83630,10996,13.14839173
BE,Belgium,2017,31316,40128.5,1360.9,1093.2,6387.9,3264.3,0,490.9,84041.7,12106.3,14.4051108
BE,Belgium,2018,30092.635,26995.628,1239.248,983.19,7177.346,3488.979,0,218.509,70195.535,12888.763,18.3612291
BG,Bulgaria,2016,18909,14932,4535,619,1425,1386,0,34,41840,7965,19.03680688
BG,Bulgaria,2017,20234.209,14718.368,3458.015,603.713,1504.063,1402.766,0,33.882,41955.016,6968.557,16.60959204
BG,Bulgaria,2018,19334,15290,4690,987,1326,1043,0,22,42692,8046,18.84662232
CZ,Czechia,2016,47817,22727,3169,1186,488,2110,0,87,77584,6953,8.961899361
CZ,Czechia,2017,47246.628,26785.6,3007.403,1155.492,581.917,2168.74,0,95.478,81041.258,6913.552,8.530904098
CZ,Czechia,2018,48042.915,28255.421,2650.153,1037.317,600.67,2317.645,0,100.826,83004.947,6605.785,7.958302774
DK,Denmark,2016,15533.149,0,19.272,0,12781.731,743.78,0,0,29077.932,13544.783,46.58097075
DK,Denmark,2017,14104.326,0,17.871,0,14780,751.485,0,0,29653.682,15549.356,52.43651025
DK,Denmark,2018,14072.337,0,14.929,0,13898.806,952.973,0,0.044,28939.089,14866.708,51.3724119
DE,Germany,2016,390141,80038,25690,5451,78218,38098,165,1805,619606,147622,23.82514049
DE,Germany,2017,376128,72155,25888,5910,103707,39401,157,1623,624969,175063,28.01146937
DE,Germany,2018,320437.701,72274.133,20041.878,6661.083,112174,46184,165.25,522.751,578460.796,185226.211,32.0205297
EE,Estonia,2016,9795,0,35,0,594,0,0,0,10424,629,6.034151957
EE,Estonia,2017,10485,0,26,0,723,0,0,0,11234,749,6.667260103
EE,Estonia,2018,10170.043,0,18.2,0,645.9,0,0,0,10834.143,664.1,6.129695722
IE,Ireland,2016,22571.711,0,962.861,288.676,6148.508,6.16,0,0,29977.916,7406.205,24.70553657
IE,Ireland,2017,21745.666,0,885.765,201.184,7444.742,10.801,0,0,30288.158,8542.492,28.20406576
IE,Ireland,2018,19963.734,0,921.979,234.936,8349.172,0,0,0,29469.821,9506.087,32.25702321
EL,Greece,2016,35586,0,5565,22,5146,3930,0,0,50249,14663,29.18068021
EL,Greece,2017,37021.751,0,4039,77.259,5536.987,3991.477,0,0,50666.474,13644.723,26.93047675
EL,Greece,2018,34803.244,0,5802.417,636.1,6300.26,3792.038,0,10.99,51345.049,16530.815,32.19553846
ES,Spain,2016,108210,56100,39180,3410,47712,13051,0,91,267754,103353,38.59998357
ES,Spain,2017,126885,55540,20708,2249,47929,13778,0,78,267167,84664,31.6895425
ES,Spain,2018,110084.238,53270.8,36083.636,2009.408,49495.207,12137.315,0,0,263080.604,99725.566,37.9068485
FR,France,2016,60607.854,384008.125,64879.956,4786.979,21472.916,8657.27,87.933,559.515,545060.548,99885.054,18.32549693
FR,France,2017,68922.949,379093.955,54432.864,5070.791,24710.749,9572.843,119.937,673.71,542597.798,93907.184,17.30696003
FR,France,2018,53956.44,393153.254,68706.552,9082.043,26134.02,9651.478,84.084,0,560767.871,113658.177,20.26831116
HR,Croatia,2016,4241,0,6967,205,1010,66,0,0,12489,8248,66.04211706
HR,Croatia,2017,4808,0,5437.8,200.3,1198.4,78.7,0,0,11723.2,6915.2,58.98730722
HR,Croatia,2018,4155.654,0,7681.337,583.988,1350.356,69.193,0,0,13840.528,9684.874,69.97474374
IT,Italy,2016,190121,0,43784.622,1825.204,17523,21757,5867,650,281527.826,90756.826,32.2372489
IT,Italy,2017,199722.444,0,37556.721,1825.96,17565.332,24016.821,5821.46,582.871,287091.609,86786.294,30.22947773
IT,Italy,2018,185046,0,49275,1632,17318,22887,5708,0,281866,96820,34.34965551
CY,Cyprus,2016,4295,0,0,0,226.701,145.937,0,0,4667.638,372.638,7.983438304
CY,Cyprus,2017,4394.819,0,0,0,211.448,172.013,0,0,4778.28,383.461,8.02508434
CY,Cyprus,2018,4380.143,0,0,0,220.613,190.329,0,0,4791.085,410.942,8.57722207
LV,Latvia,2016,3277,0,2523,0,127,0,0,0,5927,2650,44.7106462
LV,Latvia,2017,2520.383,0,4355.513,0,148.523,0.44,0,0,7024.859,4504.476,64.12194181
LV,Latvia,2018,3962,0,2418,0,120,0,0,0,6500,2538,39.04615385
LT,Lithuania,2016,1566,0,1027,577,1130,66,0,262,4628,2800,60.50129646
