country,country_name,type,year,value,ratio,conventional_thermal,renewable_rate
BE,Belgium,Conventional thermal,A,30728,0.367427956,0.367427956,0.131483917
BE,Belgium,Nuclear,A,41430,0.495396389,0.367427956,0.131483917
BE,Belgium,Hydro,A,1476,0.017649169,0.367427956,0.131483917
BE,Belgium,Pumped hydro power,A,1110,0.013272749,0.367427956,0.131483917
BE,Belgium,Wind,A,5340,0.063852684,0.367427956,0.131483917
BE,Belgium,Solar,A,3070,0.036709315,0.367427956,0.131483917
BE,Belgium,Geothermal,A,0,0,0.367427956,0.131483917
BE,Belgium,Other,A,476,0.005691737,0.367427956,0.131483917
BG,Bulgaria,Conventional thermal,A,18909,0.451935946,0.451935946,0.190368069
BG,Bulgaria,Nuclear,A,14932,0.356883365,0.451935946,0.190368069
BG,Bulgaria,Hydro,A,4535,0.108389101,0.451935946,0.190368069
BG,Bulgaria,Pumped hydro power,A,619,0.014794455,0.451935946,0.190368069
BG,Bulgaria,Wind,A,1425,0.034058317,0.451935946,0.190368069
BG,Bulgaria,Solar,A,1386,0.033126195,0.451935946,0.190368069
BG,Bulgaria,Geothermal,A,0,0,0.451935946,0.190368069
BG,Bulgaria,Other,A,34,0.00081262,0.451935946,0.190368069
CZ,Czechia,Conventional thermal,A,47817,0.616325531,0.616325531,0.089618994
CZ,Czechia,Nuclear,A,22727,0.29293411,0.616325531,0.089618994
CZ,Czechia,Hydro,A,3169,0.040846051,0.616325531,0.089618994
CZ,Czechia,Pumped hydro power,A,1186,0.015286657,0.616325531,0.089618994
CZ,Czechia,Wind,A,488,0.006289957,0.616325531,0.089618994
CZ,Czechia,Solar,A,2110,0.027196329,0.616325531,0.089618994
CZ,Czechia,Geothermal,A,0,0,0.616325531,0.089618994
CZ,Czechia,Other,A,87,0.001121365,0.616325531,0.089618994
DK,Denmark,Conventional thermal,A,15533.149,0.534190292,0.534190292,0.465809708
DK,Denmark,Nuclear,A,0,0,0.534190292,0.465809708
DK,Denmark,Hydro,A,19.272,0.000662771,0.534190292,0.465809708
DK,Denmark,Pumped hydro power,A,0,0,0.534190292,0.465809708
DK,Denmark,Wind,A,12781.731,0.439568089,0.534190292,0.465809708
DK,Denmark,Solar,A,743.78,0.025578848,0.534190292,0.465809708
DK,Denmark,Geothermal,A,0,0,0.534190292,0.465809708
DK,Denmark,Other,A,0,0,0.534190292,0.465809708
DE,Germany,Conventional thermal,A,390141,0.629659816,0.629659816,0.238251405
DE,Germany,Nuclear,A,80038,0.129175637,0.629659816,0.238251405
DE,Germany,Hydro,A,25690,0.041461832,0.629659816,0.238251405
DE,Germany,Pumped hydro power,A,5451,0.008797526,0.629659816,0.238251405
DE,Germany,Wind,A,78218,0.126238287,0.629659816,0.238251405
DE,Germany,Solar,A,38098,0.061487461,0.629659816,0.238251405
DE,Germany,Geothermal,A,165,0.000266298,0.629659816,0.238251405
DE,Germany,Other,A,1805,0.002913142,0.629659816,0.238251405
EE,Estonia,Conventional thermal,A,9795,0.93965848,0.93965848,0.06034152
EE,Estonia,Nuclear,A,0,0,0.93965848,0.06034152
EE,Estonia,Hydro,A,35,0.003357636,0.93965848,0.06034152
EE,Estonia,Pumped hydro power,A,0,0,0.93965848,0.06034152
EE,Estonia,Wind,A,594,0.056983883,0.93965848,0.06034152
EE,Estonia,Solar,A,0,0,0.93965848,0.06034152
EE,Estonia,Geothermal,A,0,0,0.93965848,0.06034152
EE,Estonia,Other,A,0,0,0.93965848,0.06034152
IE,Ireland,Conventional thermal,A,22571.711,0.752944634,0.752944634,0.247055366
IE,Ireland,Nuclear,A,0,0,0.752944634,0.247055366
IE,Ireland,Hydro,A,962.861,0.032119011,0.752944634,0.247055366
IE,Ireland,Pumped hydro power,A,288.676,0.009629622,0.752944634,0.247055366
IE,Ireland,Wind,A,6148.508,0.205101249,0.752944634,0.247055366
IE,Ireland,Solar,A,6.16,0.000205485,0.752944634,0.247055366
IE,Ireland,Geothermal,A,0,0,0.752944634,0.247055366
IE,Ireland,Other,A,0,0,0.752944634,0.247055366
EL,Greece,Conventional thermal,A,35586,0.708193198,0.708193198,0.291806802
EL,Greece,Nuclear,A,0,0,0.708193198,0.291806802
EL,Greece,Hydro,A,5565,0.110748473,0.708193198,0.291806802
EL,Greece,Pumped hydro power,A,22,0.00043782,0.708193198,0.291806802
EL,Greece,Wind,A,5146,0.102409998,0.708193198,0.291806802
EL,Greece,Solar,A,3930,0.078210512,0.708193198,0.291806802
EL,Greece,Geothermal,A,0,0,0.708193198,0.291806802
EL,Greece,Other,A,0,0,0.708193198,0.291806802
ES,Spain,Conventional thermal,A,108210,0.404139621,0.404139621,0.385999836
ES,Spain,Nuclear,A,56100,0.209520679,0.404139621,0.385999836
ES,Spain,Hydro,A,39180,0.146328346,0.404139621,0.385999836
ES,Spain,Pumped hydro power,A,3410,0.012735571,0.404139621,0.385999836
ES,Spain,Wind,A,47712,0.178193416,0.404139621,0.385999836
ES,Spain,Solar,A,13051,0.048742502,0.404139621,0.385999836
ES,Spain,Geothermal,A,0,0,0.404139621,0.385999836
ES,Spain,Other,A,91,0.000339864,0.404139621,0.385999836
FR,France,Conventional thermal,A,60607.854,0.111194718,0.111194718,0.183254969
FR,France,Nuclear,A,384008.125,0.704523794,0.111194718,0.183254969
FR,France,Hydro,A,64879.956,0.119032567,0.111194718,0.183254969
FR,France,Pumped hydro power,A,4786.979,0.008782472,0.111194718,0.183254969
FR,France,Wind,A,21472.916,0.039395469,0.111194718,0.183254969
FR,France,Solar,A,8657.27,0.015883135,0.111194718,0.183254969
FR,France,Geothermal,A,87.933,0.000161327,0.111194718,0.183254969
FR,France,Other,A,559.515,0.001026519,0.111194718,0.183254969
HR,Croatia,Conventional thermal,A,4241,0.339578829,0.339578829,0.660421171
HR,Croatia,Nuclear,A,0,0,0.339578829,0.660421171
HR,Croatia,Hydro,A,6967,0.557850909,0.339578829,0.660421171
HR,Croatia,Pumped hydro power,A,205,0.016414445,0.339578829,0.660421171
HR,Croatia,Wind,A,1010,0.080871167,0.339578829,0.660421171
HR,Croatia,Solar,A,66,0.00528465,0.339578829,0.660421171
HR,Croatia,Geothermal,A,0,0,0.339578829,0.660421171
HR,Croatia,Other,A,0,0,0.339578829,0.660421171
IT,Italy,Conventional thermal,A,190121,0.675318681,0.675318681,0.322372489
IT,Italy,Nuclear,A,0,0,0.675318681,0.322372489
IT,Italy,Hydro,A,43784.622,0.155525024,0.675318681,0.322372489
IT,Italy,Pumped hydro power,A,1825.204,0.00648321,0.675318681,0.322372489
IT,Italy,Wind,A,17523,0.062242515,0.675318681,0.322372489
IT,Italy,Solar,A,21757,0.077281881,0.675318681,0.322372489
IT,Italy,Geothermal,A,5867,0.020839858,0.675318681,0.322372489
IT,Italy,Other,A,650,0.00230883,0.675318681,0.322372489
CY,Cyprus,Conventional thermal,A,4295,0.920165617,0.920165617,0.079834383
CY,Cyprus,Nuclear,A,0,0,0.920165617,0.079834383
CY,Cyprus,Hydro,A,0,0,0.920165617,0.079834383
CY,Cyprus,Pumped hydro power,A,0,0,0.920165617,0.079834383
CY,Cyprus,Wind,A,226.701,0.048568676,0.920165617,0.079834383
CY,Cyprus,Solar,A,145.937,0.031265707,0.920165617,0.079834383
CY,Cyprus,Geothermal,A,0,0,0.920165617,0.079834383
CY,Cyprus,Other,A,0,0,0.920165617,0.079834383
LV,Latvia,Conventional thermal,A,3277,0.552893538,0.552893538,0.447106462
LV,Latvia,Nuclear,A,0,0,0.552893538,0.447106462
LV,Latvia,Hydro,A,2523,0.425679096,0.552893538,0.447106462
LV,Latvia,Pumped hydro power,A,0,0,0.552893538,0.447106462
LV,Latvia,Wind,A,127,0.021427366,0.552893538,0.447106462
LV,Latvia,Solar,A,0,0,0.552893538,0.447106462
LV,Latvia,Geothermal,A,0,0,0.552893538,0.447106462
LV,Latvia,Other,A,0,0,0.552893538,0.447106462
LT,Lithuania,Conventional thermal,A,1566,0.338375108,0.338375108,0.605012965
LT,Lithuania,Nuclear,A,0,0,0.338375108,0.605012965
LT,Lithuania,Hydro,A,1027,0.221910112,0.338375108,0.605012965
LT,Lithuania,Pumped hydro power,A,577,0.124675886,0.338375108,0.605012965
LT,Lithuania,Wind,A,1130,0.244165946,0.338375108,0.605012965
LT,Lithuania,Solar,A,66,0.01426102,0.338375108,0.605012965
LT,Lithuania,Geothermal,A,0,0,0.338375108,0.605012965
LT,Lithuania,Other,A,262,0.056611927,0.338375108,0.605012965
LU,Luxembourg,Conventional thermal,A,449.564,0.125845205,0.125845205,0.874154795
LU,Luxembourg,Nuclear,A,0,0,0.125845205,0.874154795
LU,Luxembourg,Hydro,A,1516.352,0.424468215,0.125845205,0.874154795
LU,Luxembourg,Pumped hydro power,A,1404.667,0.393204543,0.125845205,0.874154795
LU,Luxembourg,Wind,A,101.486,0.028408695,0.125845205,0.874154795
LU,Luxembourg,Solar,A,100.288,0.028073342,0.125845205,0.874154795
LU,Luxembourg,Geothermal,A,0,0,0.125845205,0.874154795
LU,Luxembourg,Other,A,0,0,0.125845205,0.874154795
HU,Hungary,Conventional thermal,A,13156,0.445241641,0.445241641,0.039224313
HU,Hungary,Nuclear,A,15162,0.513131176,0.445241641,0.039224313
HU,Hungary,Hydro,A,253,0.008562339,0.445241641,0.039224313
HU,Hungary,Pumped hydro power,A,0,0,0.445241641,0.039224313
HU,Hungary,Wind,A,665,0.022505753,0.445241641,0.039224313
