country,country_name,year,Conventional thermal,Nuclear,Hydro,Pumped hydro power,Wind,Solar,Geothermal,Other,total,renewable,renewable rate,major generation,Total net production,Imports,Exports,Energy absorbed by pumping,Energy supplied,sum,import rate,export rate,dependence
BE,Belgium,2016,30728,41430,1476,1110,5340,3070,0,476,83630,10996,13.14839173,Nuclear,82520,14648,8465,1475,87228,97168,15.07492178,8.711715791,6.363205994
BE,Belgium,2017,31316,40128.5,1360.9,1093.2,6387.9,3264.3,0,490.9,84041.7,12106.3,14.4051108,Nuclear,82948.5,14189.4,8167.8,1485.4,87484.7,97137.9,14.60748071,8.40845849,6.199022215
BE,Belgium,2018,30092.635,26995.628,1239.248,983.19,7177.346,3488.979,0,218.509,70195.535,12888.763,18.3612291,Conventional thermal,69212.347,21635.908,4308.347,1347.901,85192.007,90848.255,23.81543597,4.74235526,19.07308071
BG,Bulgaria,2016,18909,14932,4535,619,1425,1386,0,34,41840,7965,19.03680688,Conventional thermal,41221,4568,10940,918,33931,45789,9.976195156,23.89220118,-13.91600603
BG,Bulgaria,2017,20234.209,14718.368,3458.015,603.713,1504.063,1402.766,0,33.882,41955.016,6968.557,16.60959204,Conventional thermal,41351.303,3705.423,9185.794,949.527,34921.405,45056.726,8.22390646,20.38717593,-12.16326948
BG,Bulgaria,2018,19334,15290,4690,987,1326,1043,0,22,42692,8046,18.84662232,Conventional thermal,41705,2223,10030,425,33473,43928,5.060553633,22.83281734,-17.7722637
CZ,Czechia,2016,47817,22727,3169,1186,488,2110,0,87,77584,6953,8.961899361,Conventional thermal,76398,13817,24791,1570,63854,90215,15.31563487,27.47990911,-12.16427423
CZ,Czechia,2017,47246.628,26785.6,3007.403,1155.492,581.917,2168.74,0,95.478,81041.258,6913.552,8.530904098,Conventional thermal,79885.766,15072,28108.9,1530.5,65318.366,94957.766,15.87231949,29.60147567,-13.72915618
CZ,Czechia,2018,48042.915,28255.421,2650.153,1037.317,600.67,2317.645,0,100.826,83004.947,6605.785,7.958302774,Conventional thermal,81967.627,11573.411,25480.503,1372.884,66687.651,93541.038,12.37254925,27.23991902,-14.86736976
DK,Denmark,2016,15533.149,0,19.272,0,12781.731,743.78,0,0,29077.932,13544.783,46.58097075,Conventional thermal,29077.932,14976.458,9919.365,0,34135.025,44054.39,33.99538162,22.5161783,11.47920332
DK,Denmark,2017,14104.326,0,17.871,0,14780,751.485,0,0,29653.682,15549.356,52.43651025,renewable,29653.682,15218.109,10655.394,0,34216.397,44871.791,33.91464584,23.74630868,10.16833716
DK,Denmark,2018,14072.337,0,14.929,0,13898.806,952.973,0,0.044,28939.089,14866.708,51.3724119,renewable,28939.089,15633.609,10409.266,0,34163.432,44572.698,35.07440586,23.35345731,11.72094855
DE,Germany,2016,390141,80038,25690,5451,78218,38098,165,1805,619606,147622,23.82514049,Conventional thermal,614155,28338,78863,7497,556133,642493,4.410631711,12.27453062,-7.863898906
DE,Germany,2017,376128,72155,25888,5910,103707,39401,157,1623,624969,175063,28.01146937,Conventional thermal,619059,27842,80301,8252,558348,646901,4.303904307,12.41318223,-8.109277927
DE,Germany,2018,320437.701,72274.133,20041.878,6661.083,112174,46184,165.25,522.751,578460.796,185226.211,32.0205297,Conventional thermal,571799.713,31701.359,80187.327,8347.706,514966.039,603501.072,5.252908482,13.28702313,-8.034114644
EE,Estonia,2016,9795,0,35,0,594,0,0,0,10424,629,6.034151957,Conventional thermal,10424,3577,5614,0,8387,14001,25.54817513,40.09713592,-14.54896079
EE,Estonia,2017,10485,0,26,0,723,0,0,0,11234,749,6.667260103,Conventional thermal,11234,2281,5015,0,8500,13515,16.87754347,37.10691824,-20.22937477
EE,Estonia,2018,10170.043,0,18.2,0,645.9,0,0,0,10834.143,664.1,6.129695722,Conventional thermal,10834.143,3053,4949.7,0,8937.443,13887.143,21.98436352,35.64232038,-13.65795686
IE,Ireland,2016,22571.711,0,962.861,288.676,6148.508,6.16,0,0,29977.916,7406.205,24.70553657,Conventional thermal,29689.24,871.263,1583.011,532.404,28445.088,30560.503,2.850944567,5.179924558,-2.328979991
IE,Ireland,2017,21745.666,0,885.765,201.184,7444.742,10.801,0,0,30288.158,8542.492,28.20406576,Conventional thermal,30086.974,1116.408,1794.91,398.643,29009.829,31203.382,3.57784294,5.752293133,-2.174450193
