country,country_name,level,year,Energy absorbed by pumping,Energy supplied,Exports,Imports,Total net production
AL,Albania,Total,2016,0.0,7094.0,42.0,0.0,7094.0
AL,Albania,Total,2017,0.0,7412.434999999999,0.0,2914.628,4497.806999999999
AL,Albania,Total,2018,0.0,7683.232000000001,2685.047,1771.742,5911.490000000001
AT,Austria,Total,2016,4253.498,67766.64300000001,19206.889,26366.16,41400.48300000001
AT,Austria,Total,2017,5610.607,68625.46999999999,22816.512,29362.427,39263.04299999999
AT,Austria,Total,2018,5116.052000000001,69418.54599999999,19129.33,28076.136,41342.40999999999
BA,Bosnia & Herzegovina,Total,2016,0.0,12852.0,6841.0,3084.0,9768.0
BA,Bosnia & Herzegovina,Total,2017,266.0,13132.0,5187.0,3346.0,9786.0
BA,Bosnia & Herzegovina,Total,2018,50.591,5118.599999999999,3820.822000000001,1487.586,3631.013999999999
BE,Belgium,Total,2016,1475.0,87228.0,8465.0,14648.0,72580.0
BE,Belgium,Total,2017,1485.4,87484.7,8167.8,14189.4,73295.3
BE,Belgium,Total,2018,1347.901,85192.007,4308.347,21635.908,63556.099
BG,Bulgaria,Total,2016,918.0,33931.0,10940.0,4568.0,29363.0
BG,Bulgaria,Total,2017,949.527,34921.405,9185.794,3705.423,31215.982
BG,Bulgaria,Total,2018,425.0,33473.0,10030.0,2223.0,31250.0
CY,Cyprus,Total,2016,0.0,4667.638,0.0,0.0,4667.638
CY,Cyprus,Total,2017,0.0,4778.280000000001,0.0,0.0,4778.280000000001
CY,Cyprus,Total,2018,0.0,4791.084999999999,0.0,0.0,4791.084999999999
CZ,Czechia,Total,2016,1570.0,63854.0,24791.0,13817.0,50037.0
CZ,Czechia,Total,2017,1530.5,65318.36600000001,28108.9,15072.0,50246.36600000001
CZ,Czechia,Total,2018,1372.8840000000002,66687.651,25480.503,11573.411,55114.24
DE,Germany,Total,2016,7497.0,556133.0,78863.0,28338.0,527795.0
DE,Germany,Total,2017,8252.0,558348.0,80301.0,27842.0,530506.0
DE,Germany,Total,2018,8347.706,514966.03900000016,80187.327,31701.359000000004,483264.68000000017
DK,Denmark,Total,2016,0.0,34135.025,9919.365,14976.458,19158.567000000003
DK,Denmark,Total,2017,0.0,34216.397,10655.394,15218.109,18998.287999999997
DK,Denmark,Total,2018,0.0,34163.43200000001,10409.265999999998,15633.609,18529.823000000008
EE,Estonia,Total,2016,0.0,8387.0,5614.0,3577.0,4810.0
EE,Estonia,Total,2017,0.0,8500.0,5015.0,2281.0,6219.0
EE,Estonia,Total,2018,0.0,8937.443,4949.7,3053.0,5884.442999999999
EL,Greece,Total,2016,32.0,58991.0,1037.0,9833.0,49158.0
EL,Greece,Total,2017,110.0,56716.215,2459.0,8696.0,48020.215
EL,Greece,Total,2018,28.49,57199.33900000001,2186.68,8705.56,48493.77900000001
ES,Spain,Total,2016,4819.0,267192.0,14178.0,21845.0,245347.0
ES,Spain,Total,2017,3675.0,270412.0,14593.0,23762.0,246650.0
ES,Spain,Total,2018,3197.636,268975.67000000004,12915.79,24017.905,244957.76500000004
FI,Finland,Total,2016,0.0,85151.0,3159.0,22110.0,63041.0
FI,Finland,Total,2017,0.0,85463.0,1779.0,22204.0,63259.0
FI,Finland,Total,2018,0.0,87360.674,2611.0,22548.0,64812.674
FR,France,Total,2016,6723.585,492543.369,61404.0,19903.0,472640.369
FR,France,Total,2017,7104.325000000001,490823.998,61248.0,21134.0,469689.998
FR,France,Total,2018,7331.316999999998,481085.6160000001,76094.985,12826.095,468259.5210000001
GE,Georgia,Total,2016,0.0,11285.0,1409.0,1329.0,9956.0
GE,Georgia,Total,2017,0.0,12127.3,939.7,1751.2,10376.099999999999
GE,Georgia,Total,2018,214.946,12853.73,602.0380000000001,1522.2,11331.529999999999
HR,Croatia,Total,2016,294.0,17521.0,6867.0,12398.0,5123.0
HR,Croatia,Total,2017,286.2,18190.4,5204.2,12157.9,6032.500000000002
HR,Croatia,Total,2018,118.552,18537.364,7292.952999999999,12692.328999999998,5845.0350000000035
HU,Hungary,Total,2016,0.0,42259.0,5240.0,17951.0,24308.0
HU,Hungary,Total,2017,0.0,43554.0,6925.0,19803.0,23751.0
HU,Hungary,Total,2018,0.0,44098.104,4265.07,18613.295,25484.809
IE,Ireland,Total,2016,532.404,28445.088000000003,1583.011,871.263,27573.825000000004
IE,Ireland,Total,2017,398.643,29009.829,1794.91,1116.408,27893.421000000002
IE,Ireland,Total,2018,499.328,28707.828,1649.2490000000005,1621.5190000000002,27086.309
IT,Italy,Total,2016,2468.0,314261.622,6154.0,43181.0,271080.622
IT,Italy,Total,2017,2478.162,320548.137,5134.231,42894.881,277653.256
IT,Italy,Total,2018,2233.0,321910.0,3270.0,47179.0,274731.0
LT,Lithuania,Total,2016,790.0,11536.0,2831.0,11106.0,430.0
LT,Lithuania,Total,2017,799.1,11874.2,3249.0,11926.2,-52.0
LT,Lithuania,Total,2018,726.3199999999999,12089.188000000002,3215.07,12847.483,-758.2949999999983
LU,Luxembourg,Total,2016,1942.514,6523.878,1419.691,7718.393,-1194.5150000000003
LU,Luxembourg,Total,2017,1833.679,6549.101000000001,1388.648,7566.69,-1017.588999999999
LU,Luxembourg,Total,2018,1717.5,6608.700000000001,1391.674,7553.012000000001,-944.3119999999999
LV,Latvia,Total,2016,0.0,6960.0,3795.0,4828.0,2132.0
LV,Latvia,Total,2017,0.0,6960.693999999999,4137.077,4072.912,2887.781999999999
LV,Latvia,Total,2018,0.0,7408.0,4264.0,5172.0,2236.0
ME,Montenegro,Total,2016,0.0,3327.0,906.0,1210.0,2117.0
ME,Montenegro,Total,2017,0.0,3484.0000000000005,416.7,1536.9,1947.1000000000004
ME,Montenegro,Total,2018,0.0,9981.0,868.0,7106.0,2875.0
