country,country_name,type,level,year,amount
AL,Albania,Energy absorbed by pumping,Total,2016,0.0
AL,Albania,Energy absorbed by pumping,Total,2017,0.0
AL,Albania,Energy absorbed by pumping,Total,2018,0.0
AL,Albania,Energy supplied,Total,2016,7094.0
AL,Albania,Energy supplied,Total,2017,7412.434999999999
AL,Albania,Energy supplied,Total,2018,7683.232000000001
AL,Albania,Exports,Total,2016,42.0
AL,Albania,Exports,Total,2017,0.0
AL,Albania,Exports,Total,2018,2685.047
AL,Albania,Imports,Total,2016,0.0
AL,Albania,Imports,Total,2017,2914.628
AL,Albania,Imports,Total,2018,1771.742
AL,Albania,Total net production,Total,2016,7136.0
AL,Albania,Total net production,Total,2017,4497.807
AL,Albania,Total net production,Total,2018,8596.537
AT,Austria,Energy absorbed by pumping,Total,2016,4253.498
AT,Austria,Energy absorbed by pumping,Total,2017,5610.607
AT,Austria,Energy absorbed by pumping,Total,2018,5116.052000000001
AT,Austria,Energy supplied,Total,2016,67766.64300000001
AT,Austria,Energy supplied,Total,2017,68625.46999999999
AT,Austria,Energy supplied,Total,2018,69418.54599999999
AT,Austria,Exports,Total,2016,19206.889
AT,Austria,Exports,Total,2017,22816.512
AT,Austria,Exports,Total,2018,19129.33
AT,Austria,Imports,Total,2016,26366.16
AT,Austria,Imports,Total,2017,29362.427
AT,Austria,Imports,Total,2018,28076.136
AT,Austria,Total net production,Total,2016,64860.87
AT,Austria,Total net production,Total,2017,67690.162
AT,Austria,Total net production,Total,2018,65587.79199999999
BA,Bosnia & Herzegovina,Energy absorbed by pumping,Total,2016,0.0
BA,Bosnia & Herzegovina,Energy absorbed by pumping,Total,2017,266.0
BA,Bosnia & Herzegovina,Energy absorbed by pumping,Total,2018,50.591
BA,Bosnia & Herzegovina,Energy supplied,Total,2016,12852.0
BA,Bosnia & Herzegovina,Energy supplied,Total,2017,13132.0
BA,Bosnia & Herzegovina,Energy supplied,Total,2018,5118.599999999999
BA,Bosnia & Herzegovina,Exports,Total,2016,6841.0
BA,Bosnia & Herzegovina,Exports,Total,2017,5187.0
BA,Bosnia & Herzegovina,Exports,Total,2018,3820.822000000001
BA,Bosnia & Herzegovina,Imports,Total,2016,3084.0
BA,Bosnia & Herzegovina,Imports,Total,2017,3346.0
BA,Bosnia & Herzegovina,Imports,Total,2018,1487.586
BA,Bosnia & Herzegovina,Total net production,Total,2016,16609.0
BA,Bosnia & Herzegovina,Total net production,Total,2017,15239.0
BA,Bosnia & Herzegovina,Total net production,Total,2018,7502.427
BE,Belgium,Energy absorbed by pumping,Total,2016,1475.0
BE,Belgium,Energy absorbed by pumping,Total,2017,1485.4
BE,Belgium,Energy absorbed by pumping,Total,2018,1347.901
BE,Belgium,Energy supplied,Total,2016,87228.0
BE,Belgium,Energy supplied,Total,2017,87484.7
BE,Belgium,Energy supplied,Total,2018,85192.007
BE,Belgium,Exports,Total,2016,8465.0
BE,Belgium,Exports,Total,2017,8167.8
BE,Belgium,Exports,Total,2018,4308.347
BE,Belgium,Imports,Total,2016,14648.0
BE,Belgium,Imports,Total,2017,14189.4
BE,Belgium,Imports,Total,2018,21635.908
BE,Belgium,Total net production,Total,2016,82520.0
BE,Belgium,Total net production,Total,2017,82948.5
BE,Belgium,Total net production,Total,2018,69212.347
BG,Bulgaria,Energy absorbed by pumping,Total,2016,918.0
BG,Bulgaria,Energy absorbed by pumping,Total,2017,949.527
BG,Bulgaria,Energy absorbed by pumping,Total,2018,425.0
BG,Bulgaria,Energy supplied,Total,2016,33931.0
BG,Bulgaria,Energy supplied,Total,2017,34921.405
BG,Bulgaria,Energy supplied,Total,2018,33473.0
BG,Bulgaria,Exports,Total,2016,10940.0
BG,Bulgaria,Exports,Total,2017,9185.794
BG,Bulgaria,Exports,Total,2018,10030.0
BG,Bulgaria,Imports,Total,2016,4568.0
BG,Bulgaria,Imports,Total,2017,3705.423
BG,Bulgaria,Imports,Total,2018,2223.0
BG,Bulgaria,Total net production,Total,2016,41221.0
BG,Bulgaria,Total net production,Total,2017,41351.303
BG,Bulgaria,Total net production,Total,2018,41705.0
CY,Cyprus,Energy absorbed by pumping,Total,2016,0.0
CY,Cyprus,Energy absorbed by pumping,Total,2017,0.0
CY,Cyprus,Energy absorbed by pumping,Total,2018,0.0
CY,Cyprus,Energy supplied,Total,2016,4667.638
CY,Cyprus,Energy supplied,Total,2017,4778.280000000001
CY,Cyprus,Energy supplied,Total,2018,4791.084999999999
CY,Cyprus,Exports,Total,2016,0.0
CY,Cyprus,Exports,Total,2017,0.0
CY,Cyprus,Exports,Total,2018,0.0
CY,Cyprus,Imports,Total,2016,0.0
CY,Cyprus,Imports,Total,2017,0.0
CY,Cyprus,Imports,Total,2018,0.0
CY,Cyprus,Total net production,Total,2016,4667.638
CY,Cyprus,Total net production,Total,2017,4778.280000000001
CY,Cyprus,Total net production,Total,2018,4791.084999999999
CZ,Czechia,Energy absorbed by pumping,Total,2016,1570.0
CZ,Czechia,Energy absorbed by pumping,Total,2017,1530.5
CZ,Czechia,Energy absorbed by pumping,Total,2018,1372.8840000000002
CZ,Czechia,Energy supplied,Total,2016,63854.0
CZ,Czechia,Energy supplied,Total,2017,65318.36600000001
CZ,Czechia,Energy supplied,Total,2018,66687.651
CZ,Czechia,Exports,Total,2016,24791.0
CZ,Czechia,Exports,Total,2017,28108.9
CZ,Czechia,Exports,Total,2018,25480.503
CZ,Czechia,Imports,Total,2016,13817.0
CZ,Czechia,Imports,Total,2017,15072.0
CZ,Czechia,Imports,Total,2018,11573.411
CZ,Czechia,Total net production,Total,2016,76398.0
CZ,Czechia,Total net production,Total,2017,79885.766
CZ,Czechia,Total net production,Total,2018,81967.62700000001
DE,Germany,Energy absorbed by pumping,Total,2016,7497.0
