country,country_name,level,year,Energy absorbed by pumping,Energy supplied,Exports,Imports,Total net production
AL,Albania,Total,2018,0.0,7683.232000000001,2685.047,1771.742,5911.490000000001
AT,Austria,Total,2018,5116.052000000001,69418.54599999999,19129.33,28076.136,41342.40999999999
BA,Bosnia & Herzegovina,Total,2018,50.591,5118.599999999999,3820.822000000001,1487.586,3631.013999999999
BE,Belgium,Total,2018,1347.901,85192.007,4308.347,21635.908,63556.099
BG,Bulgaria,Total,2018,425.0,33473.0,10030.0,2223.0,31250.0
CY,Cyprus,Total,2018,0.0,4791.084999999999,0.0,0.0,4791.084999999999
CZ,Czechia,Total,2018,1372.8840000000002,66687.651,25480.503,11573.411,55114.24
DE,Germany,Total,2018,8347.706,514966.03900000016,80187.327,31701.359000000004,483264.68000000017
DK,Denmark,Total,2018,0.0,34163.43200000001,10409.265999999998,15633.609,18529.823000000008
EE,Estonia,Total,2018,0.0,8937.443,4949.7,3053.0,5884.442999999999
EL,Greece,Total,2018,28.49,57199.33900000001,2186.68,8705.56,48493.77900000001
ES,Spain,Total,2018,3197.636,268975.67000000004,12915.79,24017.905,244957.76500000004
FI,Finland,Total,2018,0.0,87360.674,2611.0,22548.0,64812.674
FR,France,Total,2018,7331.316999999998,481085.6160000001,76094.985,12826.095,468259.5210000001
GE,Georgia,Total,2018,214.946,12853.73,602.0380000000001,1522.2,11331.529999999999
HR,Croatia,Total,2018,118.552,18537.364,7292.952999999999,12692.328999999998,5845.0350000000035
HU,Hungary,Total,2018,0.0,44098.104,4265.07,18613.295,25484.809
IE,Ireland,Total,2018,499.328,28707.828,1649.2490000000005,1621.5190000000002,27086.309
IT,Italy,Total,2018,2233.0,321910.0,3270.0,47179.0,274731.0
LT,Lithuania,Total,2018,726.3199999999999,12089.188000000002,3215.07,12847.483,-758.2949999999983
LU,Luxembourg,Total,2018,1717.5,6608.700000000001,1391.674,7553.012000000001,-944.3119999999999
LV,Latvia,Total,2018,0.0,7408.0,4264.0,5172.0,2236.0
ME,Montenegro,Total,2018,0.0,9981.0,868.0,7106.0,2875.0
MK,North Macedonia,Total,2018,0.0,7123.500000000002,5341.489,7261.253000000001,-137.7529999999988
MT,Malta,Total,2018,0.0,2509.14,10.550999999999998,631.2929999999999,1877.847
NL,Netherlands,Total,2018,0.0,118412.37099999998,18157.0,24018.0,94394.37099999998
NO,Norway,Total,2018,1021.492,135674.50799999997,18488.911,8339.724,127334.78399999997
PL,Poland,Total,2018,660.599,159130.40299999996,8121.301000000001,13815.803,145314.59999999998
PT,Portugal,Total,2018,1565.0,53862.0,8326.0,5668.0,48194.0
RO,Romania,Total,2018,0.0,56178.0,6239.0,3695.0,52483.0
RS,Serbia,Total,2018,1067.938,34279.742000000006,6293.513000000001,6400.0070000000005,27879.735000000004
SE,Sweden,Total,2018,56.301,141001.49899999995,31671.103,14441.815,126559.68399999995
SI,Slovenia,Total,2018,252.43500000000003,14529.653000000002,9432.404,8930.238000000001,5599.415000000001
SK,Slovakia,Total,2018,401.0,26997.0,8746.0,12427.0,14570.0
TR,Turkey,Total,2018,0.0,288675.00599999994,3073.5800000000004,2466.0080000000003,286208.99799999996
UA,Ukraine,Total,2018,0.0,156020.2,4639.3,1587.0,154433.2
UK,United Kingdom,Total,2018,3390.8659999999995,333092.41399999993,2224.764,21332.415000000005,311759.99899999995
