country,country_name,type,level,2016,2017,2018,2016_ratio,2017_ratio,2018_ratio
BE,Belgium,Conventional thermal,Level 1,30728.0,31316.0,30092.635,0.3674279564749492,0.37262454234029063,0.42869728110199595
BE,Belgium,Nuclear,Level 1,41430.0,40128.5,26995.628,0.4953963888556738,0.4774832017914916,0.38457756608023574
BE,Belgium,Hydro,Level 1,1476.0,1360.9,1239.248,0.017649168958507714,0.016193151733008733,0.017654228292440538
BE,Belgium,Pumped hydro power,Level 2,1110.0,1093.2,983.1900000000002,0.013272749013511897,0.01300782825668686,0.014006446421414128
BE,Belgium,Wind,Level 1,5340.0,6387.900000000001,7177.346000000001,0.06385268444338156,0.07600869568321442,0.10224789938562333
BE,Belgium,Solar,Level 1,3070.0,3264.3,3488.9790000000003,0.036709314839172544,0.038841432288970835,0.04970371691019949
BE,Belgium,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
BE,Belgium,Other,Level 1,476.0,490.9,218.509,0.0056917374148033,0.005841147906336973,0.003112861808090785
BG,Bulgaria,Conventional thermal,Level 1,18909.0,20234.209,19334.0,0.4519359464627151,0.48228342947122227,0.45287173240888223
BG,Bulgaria,Nuclear,Level 1,14932.0,14718.368,15290.0,0.3568833652007648,0.35081307083758473,0.35814672538180453
BG,Bulgaria,Hydro,Level 1,4535.0,3458.015,4690.0,0.10838910133843212,0.08242196832912661,0.10985664761547831
BG,Bulgaria,Pumped hydro power,Level 2,619.0,603.713,987.0,0.014794455066921607,0.01438953092045061,0.02311908554295887
BG,Bulgaria,Wind,Level 1,1425.0,1504.063,1326.0,0.034058317399617594,0.035849420245722234,0.031059683313032885
BG,Bulgaria,Solar,Level 1,1386.0,1402.766,1043.0,0.03312619502868069,0.0334350009543555,0.024430806708516817
BG,Bulgaria,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
BG,Bulgaria,Other,Level 1,34.0,33.882,22.0,0.0008126195028680688,0.0008075792415381274,0.0005153190293263375
CZ,Czechia,Conventional thermal,Level 1,47817.0,47246.628,48042.91499999999,0.6163255310373272,0.5829947506491076,0.5787958035802372
CZ,Czechia,Nuclear,Level 1,22727.0,26785.6,28255.421,0.2929341101257991,0.3305180677229862,0.34040646999027663
CZ,Czechia,Hydro,Level 1,3169.0,3007.403,2650.153,0.040846050732109715,0.037109530061835906,0.03192765125191876
CZ,Czechia,Pumped hydro power,Level 2,1186.0,1155.492,1037.3170000000002,0.015286657042689214,0.014258070870518816,0.012497050326410068
CZ,Czechia,Wind,Level 1,488.0,581.917,600.67,0.006289956692101464,0.007180503046978861,0.007236556635594262
CZ,Czechia,Solar,Level 1,2110.0,2168.74,2317.645,0.027196329140028872,0.02676093700322371,0.02792176953019439
CZ,Czechia,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
CZ,Czechia,Other,Level 1,87.0,95.478,100.826,0.0011213652299443184,0.0011781406453488172,0.0012146986853687168
DK,Denmark,Conventional thermal,Level 1,15533.149,14104.326,14072.337,0.5341902924870998,0.47563489754830446,0.48627436060616835
DK,Denmark,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
DK,Denmark,Hydro,Level 1,19.272,17.871,14.928999999999998,0.0006627706537039841,0.000602657032607283,0.0005158766400697685
DK,Denmark,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
DK,Denmark,Wind,Level 1,12781.731,14780.0,13898.806,0.43956808895488164,0.49842039851914516,0.4802779382585264
DK,Denmark,Solar,Level 1,743.78,751.485,952.9729999999998,0.025578847904314514,0.025342046899943155,0.03293030406036623
DK,Denmark,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
DK,Denmark,Other,Level 1,0.0,0.0,0.044,0.0,0.0,1.5204348692524493e-06
DE,Germany,Conventional thermal,Level 1,390141.0,376128.0,320437.701,0.6296598160766681,0.6018346509986895,0.5539488643237286
DE,Germany,Nuclear,Level 1,80038.0,72155.0,72274.13299999999,0.12917563742119992,0.11545372650483464,0.12494214560393474
DE,Germany,Hydro,Level 1,25690.0,25888.0,20041.878,0.04146183219658944,0.04142285457358685,0.034646908033504835
DE,Germany,Pumped hydro power,Level 2,5451.0,5910.0,6661.0830000000005,0.008797526169856329,0.009456469040864427,0.011515184859649506
DE,Germany,Wind,Level 1,78218.0,103707.0,112174.0,0.1262382869113598,0.16593943059575755,0.19391806804483946
